model,segment,n,mse,qlike,crisis_start,crisis_end
"GJR-GARCH(1,1)-normal",overall,1050,4.6381494128003407e-07,1.5057052291824464,2020-02-15,2020-06-30
"GARCH(1,1)-normal",overall,1050,4.6835875376636166e-07,1.462510774853631,2020-02-15,2020-06-30
"GARCH(1,1)-t",overall,1050,4.808134761929074e-07,1.4620212071109204,2020-02-15,2020-06-30
"GJR-GARCH(1,1)-t",overall,1050,4.948763264512165e-07,1.5265656840298156,2020-02-15,2020-06-30
HAR-OLS,overall,1050,5.954588760848461e-07,1.4707446477224542,2020-02-15,2020-06-30
"GJR-GARCH(1,1)-normal",crisis,94,4.715130071167285e-06,2.2551093927210784,2020-02-15,2020-06-30
"GARCH(1,1)-normal",crisis,94,4.771769230275597e-06,1.7469966534845727,2020-02-15,2020-06-30
"GARCH(1,1)-t",crisis,94,4.906390146289873e-06,1.7144229564009577,2020-02-15,2020-06-30
"GJR-GARCH(1,1)-t",crisis,94,5.037704709788942e-06,2.239873890544542,2020-02-15,2020-06-30
HAR-OLS,crisis,94,6.161888056069186e-06,1.7833688456660262,2020-02-15,2020-06-30
"GARCH(1,1)-normal",calm,956,4.5220066745578966e-08,1.4345383139840613,2020-02-15,2020-06-30
"GARCH(1,1)-t",calm,956,4.566263206203422e-08,1.4372034618878415,2020-02-15,2020-06-30
"GJR-GARCH(1,1)-normal",calm,956,4.57986000568106e-08,1.4320190457382715,2020-02-15,2020-06-30
HAR-OLS,calm,956,4.8132157550820984e-08,1.440005448343065,2020-02-15,2020-06-30
"GJR-GARCH(1,1)-t",calm,956,4.819654817323931e-08,1.4564286846444763,2020-02-15,2020-06-30
