Date,y_true,y_pred
2019-10-28,6.934758210214972e-07,3.9794828111411e-05
2019-10-29,1.0550084755962986e-05,4.047618439920892e-05
2019-10-30,9.165384685903555e-06,3.6271806546929706e-05
2019-10-31,9.24661205279582e-05,3.444235925131111e-05
2019-11-01,1.3669626544903332e-05,3.275613462999145e-05
2019-11-04,1.4075513946139038e-06,4.450329990078906e-05
2019-11-05,4.931558943697989e-07,4.1540250132310716e-05
2019-11-06,7.433121972628213e-06,3.724707506432267e-05
2019-11-07,6.540310846653125e-06,3.3657296295866335e-05
2019-11-08,3.858849339945703e-06,3.185965095979093e-05
2019-11-11,2.44429241893321e-06,3.0272350935547994e-05
2019-11-12,5.05921471988603e-07,2.857084834425664e-05
2019-11-13,7.000545310853327e-07,2.6974530661903413e-05
2019-11-14,5.876799722470101e-05,2.5377144170141318e-05
2019-11-15,2.530354814404949e-07,2.4114223367073874e-05
2019-11-18,3.513763910906371e-07,3.231953471666413e-05
2019-11-19,1.4162098889751135e-05,2.9624560349628937e-05
2019-11-20,2.5090752810828244e-06,2.747331094407875e-05
2019-11-21,4.720077535091771e-06,2.7922552290004428e-05
2019-11-22,5.5939208796183794e-05,2.6435535867396633e-05
2019-11-25,4.809966773484263e-06,2.5583554575185303e-05
2019-11-26,1.7353353299891585e-05,3.300914085430382e-05
2019-11-27,1.615466179857593e-05,3.0871863663643996e-05
2019-11-29,7.514260955253711e-05,3.113360376500354e-05
2019-12-02,4.43586004878798e-05,3.1151274997447604e-05
2019-12-03,3.9736099248604574e-05,4.0463688174095036e-05
2019-12-04,2.247381542147146e-06,4.306770151302455e-05
2019-12-05,8.270531086191039e-05,4.442305768783528e-05
2019-12-06,1.0035170252498233e-05,3.961482996721349e-05
2019-12-09,1.2045856422251588e-06,4.8405864346368196e-05
2019-12-10,8.432853174367565e-06,4.403030625534079e-05
2019-12-11,7.290884055037448e-05,3.914970373548561e-05
2019-12-12,5.267733045959213e-09,3.637080507028901e-05
2019-12-13,5.072802539585306e-05,4.424156111022968e-05
2019-12-16,1.123831947779881e-07,3.913429256933463e-05
2019-12-17,1.869642603645884e-07,4.2975054752281066e-05
2019-12-18,1.979697190046593e-05,3.813839279512439e-05
2019-12-19,2.4330501368933657e-05,3.4270228860209953e-05
2019-12-20,7.495554666581708e-07,3.4229021481505594e-05
2019-12-23,3.8207466334290144e-08,3.490338241953977e-05
2019-12-24,2.6163863458747377e-05,3.1752271772072745e-05
2019-12-26,1.1549217482299194e-09,2.9103453641558436e-05
2019-12-27,3.361212029928082e-05,3.107142473368677e-05
2019-12-30,8.653543846118428e-06,2.85428091598409e-05
2019-12-31,6.962058981727568e-05,3.1786230372840653e-05
2020-01-02,5.0195940709611095e-05,3.0468518413541723e-05
2020-01-03,1.244075322148074e-05,3.897380199241653e-05
2020-01-06,7.880231955568723e-06,4.2743818269639635e-05
2020-01-07,2.391673091376176e-05,3.984999297232908e-05
2020-01-08,4.3999529520725245e-05,3.6820100670686315e-05
2020-01-09,8.175381972460955e-06,3.6895127161351807e-05
2020-01-10,4.833022121470713e-05,4.009252001735886e-05
2020-01-13,2.2972883993327984e-06,3.705944437366367e-05
2020-01-14,3.491106313136428e-06,4.0895654904042455e-05
2020-01-15,6.941801510788022e-05,3.678668134169282e-05
2020-01-16,1.4858891314691317e-05,3.3674585212502254e-05
