Date,y_true,y_pred
2019-10-28,6.934758210214972e-07,4.204116463040903e-05
2019-10-29,1.0550084755962986e-05,4.213430658563962e-05
2019-10-30,9.165384685903555e-06,3.735194117582762e-05
2019-10-31,9.24661205279582e-05,3.4970228877381185e-05
2019-11-01,1.3669626544903332e-05,3.277528624895238e-05
2019-11-04,1.4075513946139038e-06,4.432345416818424e-05
2019-11-05,4.931558943697989e-07,4.126443502975254e-05
2019-11-06,7.433121972628213e-06,3.6788402914961195e-05
2019-11-07,6.540310846653125e-06,3.292618187758961e-05
2019-11-08,3.858849339945703e-06,3.082518144837586e-05
2019-11-11,2.44429241893321e-06,2.8937287307337312e-05
2019-11-12,5.05921471988603e-07,2.6933658877193694e-05
2019-11-13,7.000545310853327e-07,2.503511840665084e-05
2019-11-14,5.876799722470101e-05,2.3128790286900363e-05
2019-11-15,2.530354814404949e-07,2.1561090600128717e-05
2019-11-18,3.513763910906371e-07,2.976982972591734e-05
2019-11-19,1.4162098889751135e-05,2.7027675146735502e-05
2019-11-20,2.5090752810828244e-06,2.4761158976852193e-05
2019-11-21,4.720077535091771e-06,2.5125025393941115e-05
2019-11-22,5.5939208796183794e-05,2.3521114657486922e-05
2019-11-25,4.809966773484263e-06,2.2542961868360235e-05
2019-11-26,1.7353353299891585e-05,3.0076382331571982e-05
2019-11-27,1.615466179857593e-05,2.799750524879971e-05
2019-11-29,7.514260955253711e-05,2.8308344629621096e-05
2019-12-02,4.43586004878798e-05,2.8369412471690154e-05
2019-12-03,3.9736099248604574e-05,3.793441297498777e-05
2019-12-04,2.247381542147146e-06,4.0882497119998804e-05
2019-12-05,8.270531086191039e-05,4.2564528697105085e-05
2019-12-06,1.0035170252498233e-05,3.791074618720592e-05
2019-12-09,1.2045856422251588e-06,4.7007913184706535e-05
2019-12-10,8.432853174367565e-06,4.283297279575798e-05
2019-12-11,7.290884055037448e-05,3.798708087934241e-05
2019-12-12,5.267733045959213e-09,3.514427821849882e-05
2019-12-13,5.072802539585306e-05,4.3099630095414025e-05
2019-12-16,1.123831947779881e-07,3.8027342635412495e-05
2019-12-17,1.869642603645884e-07,4.19248318380373e-05
2019-12-18,1.979697190046593e-05,3.7080139887374244e-05
2019-12-19,2.4330501368933657e-05,3.308963274757829e-05
2019-12-20,7.495554666581708e-07,3.2907203478004264e-05
2019-12-23,3.8207466334290144e-08,3.3476377533850044e-05
2019-12-24,2.6163863458747377e-05,3.0189704499834214e-05
2019-12-26,1.1549217482299194e-09,2.734318159540754e-05
2019-12-27,3.361212029928082e-05,2.9170660465224236e-05
2019-12-30,8.653543846118428e-06,2.6486616162564225e-05
2019-12-31,6.962058981727568e-05,2.965218143493171e-05
2020-01-02,5.0195940709611095e-05,2.827056098804013e-05
2020-01-03,1.244075322148074e-05,3.68665747803986e-05
2020-01-06,7.880231955568723e-06,4.0872128988634435e-05
2020-01-07,2.391673091376176e-05,3.8153612351375334e-05
2020-01-08,4.3999529520725245e-05,3.518552810616449e-05
2020-01-09,8.175381972460955e-06,3.528279653574805e-05
2020-01-10,4.833022121470713e-05,3.8551588392328164e-05
2020-01-13,2.2972883993327984e-06,3.556355600589435e-05
2020-01-14,3.491106313136428e-06,3.9464333391314135e-05
2020-01-15,6.941801510788022e-05,3.538925509790318e-05
2020-01-16,1.4858891314691317e-05,3.220953056841133e-05
2020-01-17,7.051682212864633e-06,4.0022040758736776e-05
2020-01-21,8.354082465815695e-08,3.784060104442772e-05
2020-01-22,1.300343827258395e-06,3.480476846985785e-05
2020-01-23,8.250614680000101e-05,3.119172154261625e-05
2020-01-24,0.0002514048828015,2.8383493783138797e-05
2020-01-27,0.0001000676814551,3.8911876987779354e-05
2020-01-28,7.521228115488135e-07,7.448586801170505e-05
2020-01-29,9.793500678042494e-06,7.996582271918591e-05
2020-01-30,0.0003191383441143,6.850786183396624e-05
2020-01-31,5.225013898564329e-05,6.0575866197943805e-05
2020-02-03,0.0002210965558546,0.00010328203625338013
2020-02-04,0.0001251663913221,9.600525501371618e-05
2020-02-05,1.1023429602538205e-05,0.00011714154418213964
2020-02-06,2.9327542873541302e-05,0.00011917262077754274
2020-02-07,5.3285475856401906e-05,0.00010244730452529145
2020-02-10,2.8461332689452012e-06,9.165096089231646e-05
2020-02-11,4.149747142901438e-05,8.656699067065898e-05
2020-02-12,2.6626940890200776e-06,7.436126719437314e-05
2020-02-13,3.3923602136836127e-06,7.0422711482331e-05
2020-02-14,8.551027436783932e-06,6.1000839755029225e-05
2020-02-18,2.2040661452796533e-05,5.33191949773091e-05
2020-02-19,1.4613933087796364e-05,4.778381446415363e-05
2020-02-20,0.000111805441692,4.538162788733562e-05
2020-02-21,0.0011619971585742,4.220700810057803e-05
2020-02-24,0.0009454336234758,5.513913194664167e-05
2020-02-25,1.4331504225376838e-05,0.00023438845447181032
2020-02-26,0.0020401605415365,0.0003518380685504813
2020-02-27,6.843364590056455e-05,0.0002934267656987482
2020-02-28,0.0020259783073773,0.0005829268986168267
2020-03-02,0.0008128477505397,0.0004915442245095814
2020-03-03,0.0017086937784643,0.0007461457474429792
2020-03-04,0.0011909941046197,0.0007515466126445166
2020-03-05,0.0002958724625325,0.0009084098160179964
2020-03-06,0.006242645353008,0.000949084570481208
2020-03-09,0.0023246912804283,0.0008291102365997091
2020-03-10,0.0025102998677906,0.0017506964699631638
2020-03-11,0.009988973521752,0.0018364328643759784
2020-03-12,0.007886933144861,0.0019385771743589731
2020-03-13,0.016295083519639,0.003336753187665049
2020-03-16,0.0033903034831493,0.004122821175124734
2020-03-17,0.0028326102721901,0.006282979068926121
2020-03-18,2.205956361308583e-05,0.005713632176086175
2020-03-19,0.0019649382542166,0.005151154667484407
2020-03-20,0.0008839621522824,0.004191385467523079
2020-03-23,0.008043082194871,0.0037597144860554914
2020-03-24,0.0001315377412729,0.003215786033223509
2020-03-25,0.0036655554811469,0.004051183301123026
2020-03-26,0.0011742852380647,0.003320708843736457
2020-03-27,0.0010867960938083,0.003355976143952131
2020-03-30,0.0002605741975898,0.0029407900343827458
2020-03-31,0.0020381940680003,0.002586896152892856
2020-04-01,0.0005095248466111,0.002149944341719352
2020-04-02,0.0002326497633756,0.0021145874926680537
2020-04-03,0.0046196822121313,0.0018103191938202133
2020-04-06,2.5739037821026223e-06,0.0015113650320817587
2020-04-07,0.0011215379827876,0.0020598846303173813
2020-04-08,0.0002068842179774,0.0016788206435956812
2020-04-09,0.0001031455434438,0.0015674662551217855
2020-04-13,0.000906886698234,0.0013128658091127261
2020-04-14,0.0004962528185561,0.0010856010870086265
2020-04-15,3.363811896497638e-05,0.0010471012398663617
2020-04-16,0.000699122886156,0.0009411672741897135
2020-04-17,0.0003255442778992,0.00077004229400903
2020-04-20,0.000970641205389,0.000753673558057227
2020-04-21,0.0005139878700855,0.0006718651462112836
2020-04-22,2.9113325992941585e-07,0.0007229138060693807
2020-04-23,0.0001910501876379,0.0006814739015914142
2020-04-24,0.0002133605980786,0.0005552921172913182
2020-04-27,2.7627325071333422e-05,0.00048684123287721264
2020-04-28,0.0006883646391487,0.00043533351446781924
2020-04-29,8.56576778562458e-05,0.0003591889944900897
2020-04-30,0.0008099836110055,0.00041868009187454557
2020-05-01,1.798457614528162e-05,0.0003574058522352338
2020-05-04,8.099883356423685e-05,0.0004372892024671617
2020-05-05,4.905434064409383e-05,0.00036125803628060747
2020-05-06,0.0001308497087623,0.0003103066819958842
2020-05-07,0.0002799195035145,0.00026299029190598853
2020-05-08,1.7707456378253697e-08,0.00023922570411827947
2020-05-11,0.0004290435216066,0.0002467616170811268
2020-05-12,0.0003103585700599,0.00020271352288007437
2020-05-13,0.0001313067972404,0.0002435255489731658
2020-05-14,1.535601535227192e-05,0.00025522552515153585
2020-05-15,0.0009619431750512,0.00023329913804493628
2020-05-18,0.0001110862818241,0.00019505533148621963
2020-05-19,0.0002727118859799,0.0003296546640659501
