Date,y_true,y_pred
2019-10-28,6.934758210214972e-07,3.52219972857707e-05
2019-10-29,1.0550084755962986e-05,3.2654700175412356e-05
2019-10-30,9.165384685903555e-06,3.071481232771889e-05
2019-10-31,9.24661205279582e-05,2.8941821380637943e-05
2019-11-01,1.3669626544903332e-05,3.012823765673424e-05
2019-11-04,1.4075513946139038e-06,2.8554681511863932e-05
2019-11-05,4.931558943697989e-07,2.7193357938579803e-05
2019-11-06,7.433121972628213e-06,2.6466187737787895e-05
2019-11-07,6.540310846653125e-06,2.545965657553142e-05
2019-11-08,3.858849339945703e-06,2.4640395084042045e-05
2019-11-11,2.44429241893321e-06,2.3964252881537755e-05
2019-11-12,5.05921471988603e-07,2.4516692711192783e-05
2019-11-13,7.000545310853327e-07,2.3844960126040315e-05
2019-11-14,5.876799722470101e-05,2.328464745272373e-05
2019-11-15,2.530354814404949e-07,2.2818267451820338e-05
2019-11-18,3.513763910906371e-07,2.2544474456901962e-05
2019-11-19,1.4162098889751135e-05,2.2216105316516242e-05
2019-11-20,2.5090752810828244e-06,2.2040601600775807e-05
2019-11-21,4.720077535091771e-06,2.5925999218372496e-05
2019-11-22,5.5939208796183794e-05,2.5693637530350312e-05
2019-11-25,4.809966773484263e-06,2.477325302495282e-05
2019-11-26,1.7353353299891585e-05,2.409833402498101e-05
2019-11-27,1.615466179857593e-05,2.347309367687449e-05
2019-11-29,7.514260955253711e-05,2.2978721511397915e-05
2019-12-02,4.43586004878798e-05,2.726019430258329e-05
2019-12-03,3.9736099248604574e-05,4.796530373064657e-05
2019-12-04,2.247381542147146e-06,5.58547103571846e-05
2019-12-05,8.270531086191039e-05,4.939585350728629e-05
2019-12-06,1.0035170252498233e-05,4.411172344165726e-05
2019-12-09,1.2045856422251588e-06,3.986045083316031e-05
2019-12-10,8.432853174367565e-06,3.926230978385446e-05
2019-12-11,7.290884055037448e-05,3.621011860896675e-05
2019-12-12,5.267733045959213e-09,3.337249959115754e-05
2019-12-13,5.072802539585306e-05,3.1094517772439375e-05
2019-12-16,1.123831947779881e-07,2.919002619415412e-05
2019-12-17,1.869642603645884e-07,2.7675761212963372e-05
2019-12-18,1.979697190046593e-05,2.6392470232930205e-05
2019-12-19,2.4330501368933657e-05,2.5390272197051576e-05
2019-12-20,7.495554666581708e-07,2.4537175189642618e-05
2019-12-23,3.8207466334290144e-08,2.384707210512627e-05
2019-12-24,2.6163863458747377e-05,2.3244750602759214e-05
2019-12-26,1.1549217482299194e-09,2.275376855520689e-05
2019-12-27,3.361212029928082e-05,2.238284513711358e-05
2019-12-30,8.653543846118428e-06,2.2029525283087093e-05
2019-12-31,6.962058981727568e-05,3.157718001606431e-05
2020-01-02,5.0195940709611095e-05,2.9550427594801126e-05
2020-01-03,1.244075322148074e-05,2.7958757083071445e-05
2020-01-06,7.880231955568723e-06,4.1249534802578766e-05
2020-01-07,2.391673091376176e-05,3.74468967027561e-05
2020-01-08,4.3999529520725245e-05,3.663593947432915e-05
2020-01-09,8.175381972460955e-06,3.369982030903167e-05
2020-01-10,4.833022121470713e-05,3.1318337768858565e-05
2020-01-13,2.2972883993327984e-06,3.172214156559113e-05
2020-01-14,3.491106313136428e-06,2.970727873492891e-05
2020-01-15,6.941801510788022e-05,2.869490635354523e-05
2020-01-16,1.4858891314691317e-05,2.719713755436365e-05
2020-01-17,7.051682212864633e-06,2.6040704559449124e-05
2020-01-21,8.354082465815695e-08,2.504500003471456e-05
2020-01-22,1.300343827258395e-06,2.6264649843258036e-05
2020-01-23,8.250614680000101e-05,2.520157139371698e-05
2020-01-24,0.0002514048828015,2.4326572807679063e-05
2020-01-27,0.0001000676814551,4.765783181568508e-05
2020-01-28,7.521228115488135e-07,0.0001165631608344837
2020-01-29,9.793500678042494e-06,9.879868997415367e-05
2020-01-30,0.0003191383441143,8.444467515429497e-05
2020-01-31,5.225013898564329e-05,7.26196956091707e-05
2020-02-03,0.0002210965558546,0.000156703024300121
2020-02-04,0.0001251663913221,0.000131378347697095
2020-02-05,1.1023429602538205e-05,0.00011105433333501638
2020-02-06,2.9327542873541302e-05,9.43714685250728e-05
2020-02-07,5.3285475856401906e-05,8.07134911232733e-05
2020-02-10,2.8461332689452012e-06,7.818056813503259e-05
2020-02-11,4.149747142901438e-05,6.755443004197462e-05
2020-02-12,2.6626940890200776e-06,5.886847951336408e-05
2020-02-13,3.3923602136836127e-06,5.181063077865051e-05
2020-02-14,8.551027436783932e-06,4.68030584139785e-05
2020-02-18,2.2040661452796533e-05,4.1938493132470965e-05
2020-02-19,1.4613933087796364e-05,4.047993846007929e-05
2020-02-20,0.000111805441692,3.679931758172295e-05
2020-02-21,0.0011619971585742,3.808374172553314e-05
2020-02-24,0.0009454336234758,6.7681317955726e-05
2020-02-25,1.4331504225376838e-05,0.00041157408777648763
2020-02-26,0.0020401605415365,0.0006275005640318563
2020-02-27,6.843364590056455e-05,0.0005151299167565681
2020-02-28,0.0020259783073773,0.001050713741487229
2020-03-02,0.0008128477505397,0.0008732304121168756
2020-03-03,0.0017086937784643,0.0007136148997687172
2020-03-04,0.0011909941046197,0.0008316557051418371
2020-03-05,0.0002958724625325,0.0006786822498717684
2020-03-06,0.006242645353008,0.0009216500922709096
2020-03-09,0.0023246912804283,0.0008401538315545838
2020-03-10,0.0025102998677906,0.0026462375894868396
2020-03-11,0.009988973521752,0.002142597842195974
2020-03-12,0.007886933144861,0.0025232731642381707
2020-03-13,0.016295083519639,0.0052181413558088415
2020-03-16,0.0033903034831493,0.004224082261159906
2020-03-17,0.0028326102721901,0.008650872505779264
2020-03-18,2.205956361308583e-05,0.00696891678498316
2020-03-19,0.0019649382542166,0.006521804660858612
2020-03-20,0.0008839621522824,0.005256882136339997
2020-03-23,0.008043082194871,0.004866378731538244
2020-03-24,0.0001315377412729,0.004207173434161924
2020-03-25,0.0036655554811469,0.0034052559452923546
2020-03-26,0.0011742852380647,0.0027476332465263273
2020-03-27,0.0010867960938083,0.0022234974952448777
2020-03-30,0.0002605741975898,0.0021681483402182606
2020-03-31,0.0020381940680003,0.0017510116769248122
2020-04-01,0.0005095248466111,0.0014944915647468046
2020-04-02,0.0002326497633756,0.0018581467649034927
2020-04-03,0.0046196822121313,0.001500392682065067
2020-04-06,2.5739037821026223e-06,0.0012847582560561487
2020-04-07,0.0011215379827876,0.001049280718276522
2020-04-08,0.0002068842179774,0.0008477846260473823
2020-04-09,0.0001031455434438,0.0006892778054948447
2020-04-13,0.000906886698234,0.0005571164189264716
2020-04-14,0.0004962528185561,0.0004825365524621917
2020-04-15,3.363811896497638e-05,0.00039611021063976033
2020-04-16,0.000699122886156,0.0004817865891361672
2020-04-17,0.0003255442778992,0.0003909417926164386
2020-04-20,0.000970641205389,0.0003206446687792497
2020-04-21,0.0005139878700855,0.00036592325979603846
2020-04-22,2.9113325992941585e-07,0.0006082358274353154
2020-04-23,0.0001910501876379,0.0004949442950685291
