Date,y_true,y_pred
2019-10-28,6.934758210214972e-07,3.336716302994731e-05
2019-10-29,1.0550084755962986e-05,3.0471345973809433e-05
2019-10-30,9.165384685903555e-06,2.8283506457072434e-05
2019-10-31,9.24661205279582e-05,2.629899887580458e-05
2019-11-01,1.3669626544903332e-05,2.785692018082956e-05
2019-11-04,1.4075513946139038e-06,2.606785355334469e-05
2019-11-05,4.931558943697989e-07,2.452870249359882e-05
2019-11-06,7.433121972628213e-06,2.373383283850037e-05
2019-11-07,6.540310846653125e-06,2.2591703854566554e-05
2019-11-08,3.858849339945703e-06,2.1677502527056815e-05
2019-11-11,2.44429241893321e-06,2.092822637900194e-05
2019-11-12,5.05921471988603e-07,2.1644300090495237e-05
2019-11-13,7.000545310853327e-07,2.0873307450183945e-05
2019-11-14,5.876799722470101e-05,2.0228292362874995e-05
2019-11-15,2.530354814404949e-07,1.969186852455718e-05
2019-11-18,3.513763910906371e-07,1.943397118699875e-05
2019-11-19,1.4162098889751135e-05,1.905518920577925e-05
2019-11-20,2.5090752810828244e-06,1.885596062056247e-05
2019-11-21,4.720077535091771e-06,2.357435739655666e-05
2019-11-22,5.5939208796183794e-05,2.3281823179722828e-05
2019-11-25,4.809966773484263e-06,2.216947898821245e-05
2019-11-26,1.7353353299891585e-05,2.1390150322860574e-05
2019-11-27,1.615466179857593e-05,2.0647092524767935e-05
2019-11-29,7.514260955253711e-05,2.0085229788501888e-05
2019-12-02,4.43586004878798e-05,2.5255330497510366e-05
2019-12-03,3.9736099248604574e-05,5.01140640367699e-05
2019-12-04,2.247381542147146e-06,5.94430567371791e-05
2019-12-05,8.270531086191039e-05,5.148621609340383e-05
2019-12-06,1.0035170252498233e-05,4.501283471437701e-05
2019-12-09,1.2045856422251588e-06,3.984795551129479e-05
2019-12-10,8.432853174367565e-06,3.912067355433633e-05
2019-12-11,7.290884055037448e-05,3.545430603824815e-05
2019-12-12,5.267733045959213e-09,3.2067545734238185e-05
2019-12-13,5.072802539585306e-05,2.9365678038233704e-05
2019-12-16,1.123831947779881e-07,2.7131412194906467e-05
2019-12-17,1.869642603645884e-07,2.5376311250246512e-05
2019-12-18,1.979697190046593e-05,2.3892284223058488e-05
2019-12-19,2.4330501368933657e-05,2.2742653911910714e-05
2019-12-20,7.495554666581708e-07,2.178755831143771e-05
2019-12-23,3.8207466334290144e-08,2.1031654790359025e-05
2019-12-24,2.6163863458747377e-05,2.0350200545030757e-05
2019-12-26,1.1549217482299194e-09,1.979502601636722e-05
2019-12-27,3.361212029928082e-05,1.942081112851082e-05
2019-12-30,8.653543846118428e-06,1.9020746004285216e-05
2019-12-31,6.962058981727568e-05,3.0528571098035775e-05
2020-01-02,5.0195940709611095e-05,2.805258970443219e-05
2020-01-03,1.244075322148074e-05,2.6135163361682956e-05
2020-01-06,7.880231955568723e-06,4.206367458026967e-05
2020-01-07,2.391673091376176e-05,3.7391656621693644e-05
2020-01-08,4.3999529520725245e-05,3.635877868710084e-05
2020-01-09,8.175381972460955e-06,3.28027694689751e-05
2020-01-10,4.833022121470713e-05,2.99419328671656e-05
2020-01-13,2.2972883993327984e-06,3.043983651952536e-05
2020-01-14,3.491106313136428e-06,2.8036414548643267e-05
2020-01-15,6.941801510788022e-05,2.6849430306005068e-05
2020-01-16,1.4858891314691317e-05,2.5085382253382215e-05
2020-01-17,7.051682212864633e-06,2.374575949244847e-05
