Date,y_true,y_pred
2019-10-28,6.934758210214972e-07,4.884335040031393e-05
2019-10-29,1.0550084755962986e-05,4.710741436000232e-05
2019-10-30,9.165384685903555e-06,4.72556094567034e-05
2019-10-31,9.24661205279582e-05,4.6210514638983826e-05
2019-11-01,1.3669626544903332e-05,5.15906877373468e-05
2019-11-04,1.4075513946139038e-06,4.867131230400913e-05
2019-11-05,4.931558943697989e-07,4.649200587382439e-05
2019-11-06,7.433121972628213e-06,4.53211972485825e-05
2019-11-07,6.540310846653125e-06,4.267596600862648e-05
2019-11-08,3.858849339945703e-06,3.390300761223722e-05
2019-11-11,2.44429241893321e-06,3.2558817626675805e-05
2019-11-12,5.05921471988603e-07,3.139069141472029e-05
2019-11-13,7.000545310853327e-07,3.1339011787555835e-05
2019-11-14,5.876799722470101e-05,2.966370376764721e-05
2019-11-15,2.530354814404949e-07,3.5666209114546514e-05
2019-11-18,3.513763910906371e-07,3.4654558138462027e-05
2019-11-19,1.4162098889751135e-05,3.4280908851062684e-05
2019-11-20,2.5090752810828244e-06,3.531913362372285e-05
2019-11-21,4.720077535091771e-06,3.524160909957173e-05
2019-11-22,5.5939208796183794e-05,3.02129536035229e-05
2019-11-25,4.809966773484263e-06,3.6439617878676474e-05
2019-11-26,1.7353353299891585e-05,3.620210204976416e-05
2019-11-27,1.615466179857593e-05,3.646450623414953e-05
2019-11-29,7.514260955253711e-05,3.7866446752298695e-05
2019-12-02,4.43586004878798e-05,4.566973294945461e-05
2019-12-03,3.9736099248604574e-05,4.466908718812317e-05
2019-12-04,2.247381542147146e-06,4.7287207680931e-05
2019-12-05,8.270531086191039e-05,4.5371499436090564e-05
2019-12-06,1.0035170252498233e-05,5.320657132838374e-05
2019-12-09,1.2045856422251588e-06,4.654819020556007e-05
2019-12-10,8.432853174367565e-06,4.237939525374662e-05
2019-12-11,7.290884055037448e-05,3.955807564501578e-05
2019-12-12,5.267733045959213e-09,4.7481371024626226e-05
2019-12-13,5.072802539585306e-05,3.90662043635283e-05
